0.084838,0.49796,0.0056898,0.032323,-0.0090503
0.14577,-0.034237,0.27758,-0.15347,-0.10596
0.21324,0.4715,0.2572,0.021074,0.050869
-0.032789,0.47615,-0.24197,0.029673,-0.016625
0.23283,-0.048672,0.48872,-0.010793,0.064583
0.088364,0.51482,0.013126,0.039147,-0.044051
-0.0020824,0.028886,-0.061614,-0.35779,0.14608
0.0020824,-0.028886,0.061614,0.35779,-0.14608
-0.0020824,0.028886,-0.061614,-0.35779,0.14608
0.0020824,-0.028886,0.061614,0.35779,-0.14608
0.0020824,-0.028886,0.061614,0.35779,-0.14608
0.0020824,-0.028886,0.061614,0.35779,-0.14608
0.17682,-0.037262,-0.062154,0.067063,0.38593
0.19422,-0.033946,-0.121,-0.05353,-0.23574
0.2287,-0.02995,-0.08636,-0.11512,-0.23987
0.19586,-0.035114,-0.085326,-0.073648,-0.11029
0.19471,-0.031244,-0.092541,-0.056662,-0.032752
0.21279,-0.044449,-0.041826,-0.11139,-0.11898
0.2362,-0.043026,-0.11987,-0.081432,-0.060305
0.22526,-0.051337,-0.059638,-0.1289,-0.16928
0.18551,-0.044562,0.61248,-0.14401,-0.069702
0.21907,-0.048896,-0.011377,0.25251,0.22049
0.24834,-0.060204,-0.032581,0.20858,0.62146
0.24897,-0.038156,-0.18222,0.061489,-0.28326
0.26757,-0.034363,-0.09459,0.010195,-0.06659
0.28866,-0.039056,-0.17268,0.078152,0.052477
0.26106,-0.042815,-0.13228,0.037423,0.051925
0.2906,-0.057578,-0.09568,0.0076479,0.012082
